hv010,hv011,hv012,hv014,hv216,hv270,hv243a,hv244,hv245,hv209,hv208,hv243b,hv206,hv207
4,0,8,2,3,0,no,yes,35.0,no,no,no,no,no
2,0,8,3,3,1,no,yes,30.0,no,no,yes,no,no
2,0,7,1,4,1,yes,yes,35.0,no,no,no,no,no
1,2,8,2,4,2,no,yes,45.0,no,no,no,no,yes
4,0,9,3,5,2,yes,yes,25.0,no,no,no,no,no
2,0,8,2,3,0,no,yes,45.0,no,no,no,no,no
1,1,4,1,2,0,no,yes,45.0,no,no,no,no,yes
1,1,7,2,3,2,no,yes,45.0,no,no,no,no,no
2,0,9,3,3,1,yes,yes,25.0,no,no,yes,no,no
2,1,8,3,3,1,yes,yes,30.0,no,no,no,no,no
3,1,6,1,3,1,yes,yes,35.0,no,no,no,no,yes
3,2,16,2,5,1,yes,yes,45.0,no,no,yes,no,no
1,0,5,1,5,0,no,yes,45.0,no,no,no,no,no
3,0,13,2,5,3,yes,yes,50.0,no,no,yes,no,yes
1,0,3,1,1,0,no,yes,45.0,no,no,no,no,no
1,1,4,1,2,1,no,yes,30.0,no,no,yes,no,no
2,0,8,2,4,0,no,yes,45.0,no,no,yes,no,no
0,0,1,0,1,0,no,yes,35.0,no,no,no,no,no
1,0,7,1,3,0,no,yes,30.0,no,no,no,no,no
1,1,6,3,3,1,yes,yes,45.0,no,no,yes,no,no
2,2,7,2,2,0,yes,yes,35.0,no,no,no,no,no
1,0,5,1,2,2,yes,yes,35.0,no,yes,yes,no,yes
1,1,6,0,4,1,yes,yes,40.0,no,no,yes,no,yes
1,3,6,2,2,0,no,yes,35.0,no,no,no,no,no
3,4,12,2,5,2,yes,yes,30.0,no,no,no,no,yes
4,2,12,3,3,1,yes,yes,23.0,no,no,yes,no,yes
3,3,12,2,5,1,yes,yes,40.0,no,no,yes,no,yes
0,0,2,0,1,1,no,no,,no,no,no,no,no
1,0,6,2,3,1,yes,yes,30.0,no,no,no,no,no
0,2,9,1,3,0,yes,yes,228.0,no,no,no,no,yes
1,0,4,1,3,0,no,yes,23.0,no,no,no,no,no
2,0,8,1,6,1,yes,no,,no,no,no,no,yes
1,1,11,2,7,2,yes,yes,30.0,no,no,yes,no,yes
1,0,5,2,2,1,yes,no,,no,no,no,no,no
