hv270,hv010,hv011,hv012,hv014,hv216,hv243a,hv244,hv209,hv208,hv243b,hv206,hv207
richer,0,0,5,0,2,yes,no,no,no,no,yes,yes
richer,1,0,3,0,1,yes,no,no,no,yes,no,no
richest,0,1,6,1,3,yes,no,yes,yes,yes,yes,yes
richest,0,0,2,0,1,yes,no,no,no,yes,yes,yes
richer,0,0,1,0,1,yes,yes,no,no,no,yes,yes
richest,1,3,6,1,4,yes,no,yes,no,yes,yes,yes
richer,2,0,6,0,3,yes,no,no,no,no,yes,no
richest,0,0,4,0,3,yes,no,no,no,yes,yes,yes
richest,1,0,4,1,1,yes,no,yes,yes,no,yes,yes
richer,1,0,2,0,1,yes,no,no,no,yes,no,yes
richest,0,0,1,0,1,yes,no,no,yes,yes,yes,yes
richest,2,0,6,2,2,yes,yes,no,yes,yes,yes,yes
richer,1,1,6,0,1,yes,no,no,no,yes,no,yes
richest,3,0,7,0,1,yes,no,yes,yes,yes,yes,yes
poorer,1,0,3,0,3,no,yes,no,no,no,no,no
poorer,1,1,6,2,2,no,yes,no,no,no,no,no
poorer,1,1,4,1,4,yes,yes,no,no,yes,no,yes
poorer,1,0,4,1,4,yes,yes,no,no,no,no,no
poorest,0,0,1,0,1,no,yes,no,no,no,no,no
poorer,1,1,7,2,1,yes,yes,no,no,yes,no,no
poorest,1,0,5,2,2,no,yes,no,no,no,no,no
poorest,1,0,6,2,3,no,yes,no,no,no,no,no
middle,1,0,7,1,3,yes,yes,no,no,no,no,yes
poorest,1,0,3,1,1,no,yes,no,no,no,no,no
poorest,1,1,2,0,1,no,no,no,no,no,no,no
poorer,0,2,5,0,3,yes,yes,no,no,yes,no,no
poorer,1,0,5,2,3,no,yes,no,no,yes,no,no
poorest,0,2,4,0,2,no,yes,no,no,no,no,no
poorest,2,0,7,2,2,no,yes,no,no,no,no,no
poorest,0,0,4,1,2,no,yes,no,no,no,no,no
poorest,3,0,7,0,4,yes,yes,no,no,no,no,no
poorest,2,0,3,0,3,no,yes,no,no,no,no,no
poorest,1,1,4,0,2,no,yes,no,no,no,no,no
poorer,0,0,2,0,4,yes,yes,no,no,no,no,no
poorest,1,0,3,0,1,no,no,no,no,no,no,no
poorest,2,4,10,2,4,no,yes,no,no,no,no,no
poorest,4,0,8,2,3,no,yes,no,no,no,no,no
poorer,2,0,8,3,3,no,yes,no,no,yes,no,no
poorer,2,0,7,1,4,yes,yes,no,no,no,no,no
middle,1,2,8,2,4,no,yes,no,no,no,no,yes
middle,4,0,9,3,5,yes,yes,no,no,no,no,no
poorest,2,0,8,2,3,no,yes,no,no,no,no,no
poorest,1,1,4,1,2,no,yes,no,no,no,no,yes
middle,1,1,7,2,3,no,yes,no,no,no,no,no
poorer,2,0,9,3,3,yes,yes,no,no,yes,no,no
poorer,2,1,8,3,3,yes,yes,no,no,no,no,no
poorer,3,1,6,1,3,yes,yes,no,no,no,no,yes
poorer,3,2,16,2,5,yes,yes,no,no,yes,no,no
poorest,1,0,5,1,5,no,yes,no,no,no,no,no
richer,3,0,13,2,5,yes,yes,no,no,yes,no,yes
poorest,1,0,3,1,1,no,yes,no,no,no,no,no
poorer,1,1,4,1,2,no,yes,no,no,yes,no,no
poorest,2,0,8,2,4,no,yes,no,no,yes,no,no
poorest,0,0,1,0,1,no,yes,no,no,no,no,no
poorest,1,0,7,1,3,no,yes,no,no,no,no,no
poorer,1,1,6,3,3,yes,yes,no,no,yes,no,no
poorest,2,2,7,2,2,yes,yes,no,no,no,no,no
middle,1,0,5,1,2,yes,yes,no,yes,yes,no,yes
poorer,1,1,6,0,4,yes,yes,no,no,yes,no,yes
poorest,1,3,6,2,2,no,yes,no,no,no,no,no
middle,3,4,12,2,5,yes,yes,no,no,no,no,yes
poorer,4,2,12,3,3,yes,yes,no,no,yes,no,yes
poorer,3,3,12,2,5,yes,yes,no,no,yes,no,yes
poorer,0,0,2,0,1,no,no,no,no,no,no,no
poorer,1,0,6,2,3,yes,yes,no,no,no,no,no
poorest,0,2,9,1,3,yes,yes,no,no,no,no,yes
poorest,1,0,4,1,3,no,yes,no,no,no,no,no
poorer,2,0,8,1,6,yes,no,no,no,no,no,yes
middle,1,1,11,2,7,yes,yes,no,no,yes,no,yes
poorer,1,0,5,2,2,yes,no,no,no,no,no,no
middle,4,0,14,5,3,yes,yes,no,no,yes,no,yes
poorer,0,0,5,2,2,yes,no,no,no,no,no,no
poorer,1,0,5,0,2,yes,yes,no,no,no,no,yes
poorest,0,0,7,1,4,yes,yes,no,no,no,no,yes
poorest,0,0,6,1,4,yes,yes,no,no,no,no,no
poorest,1,1,2,0,2,no,no,no,no,no,no,no
poorer,6,0,21,6,6,yes,yes,no,no,yes,no,no
middle,3,0,10,3,3,yes,no,no,no,no,no,no
poorer,2,0,9,3,5,yes,yes,no,no,yes,no,no
middle,1,0,7,1,3,yes,yes,no,no,yes,no,no
poorer,1,1,3,1,1,yes,yes,no,no,no,no,no
middle,2,0,3,0,2,yes,no,no,no,no,no,no
poorer,1,2,5,0,4,yes,yes,no,no,no,no,yes
poorer,1,0,7,3,2,yes,no,no,no,no,no,no
richer,3,0,5,0,2,yes,no,no,no,yes,no,yes
richest,1,0,2,0,2,yes,no,yes,no,yes,yes,yes
richest,2,5,10,1,3,yes,no,no,yes,yes,yes,yes
richest,1,1,5,1,4,yes,no,yes,yes,yes,yes,yes
richer,1,0,2,0,1,yes,no,no,no,yes,no,no
richest,2,0,6,2,2,yes,no,no,yes,yes,yes,yes
richest,2,1,5,1,2,yes,no,yes,yes,yes,yes,yes
richer,1,0,8,0,2,yes,no,no,no,no,no,yes
richer,0,2,2,0,1,yes,no,no,no,yes,no,no
richest,2,0,4,1,3,yes,no,yes,yes,yes,yes,yes
richest,2,3,6,1,3,yes,no,yes,yes,yes,yes,yes
richer,0,0,2,0,1,yes,no,no,no,no,no,yes
richest,5,6,22,3,5,yes,no,yes,yes,yes,yes,yes
richest,0,0,1,0,2,yes,no,yes,yes,yes,yes,yes
richest,2,0,10,1,4,yes,no,yes,yes,yes,yes,no
richer,2,0,6,2,2,yes,no,no,no,yes,no,yes
richest,2,0,3,0,2,yes,no,yes,yes,yes,yes,yes
richest,1,0,3,0,2,yes,no,yes,yes,yes,yes,yes
richest,3,2,8,1,4,yes,no,yes,yes,yes,yes,yes
richest,1,0,3,1,2,yes,no,yes,yes,yes,yes,yes
richer,0,0,1,0,1,yes,no,no,no,yes,no,yes
richer,0,1,1,0,1,yes,no,no,no,no,yes,no
richest,2,0,5,1,3,yes,no,no,no,yes,yes,yes
richest,1,1,3,0,2,yes,no,yes,yes,yes,yes,yes
poorer,1,1,4,0,5,no,yes,no,no,yes,no,yes
poorest,1,2,6,1,3,no,yes,no,no,no,no,no
poorest,0,0,5,3,2,yes,yes,no,no,no,no,no
middle,1,1,5,2,3,no,yes,no,no,yes,no,yes
poorest,1,1,5,0,2,no,yes,no,no,no,no,no
poorer,1,1,7,2,4,yes,yes,no,no,yes,no,yes
poorest,1,0,6,2,2,yes,yes,no,no,yes,no,no
poorer,1,0,6,0,3,yes,yes,no,no,yes,no,yes
poorer,0,1,1,0,2,no,yes,no,no,yes,no,yes
